time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-27T05:43:28.580Z,35.9645,-117.6673333,2.55,1.68,ml,26,46,0.02153,0.13,ci,ci39096392,2019-09-27T05:47:14.998Z,"22km E of Little Lake, CA",earthquake,0.17,0.21,0.194,26,automatic,ci,ci
2019-09-27T05:39:30.230Z,35.6716667,-117.5165,1.31,1.38,ml,26,54,0.06548,0.16,ci,ci39096384,2019-09-27T05:50:27.660Z,"15km SW of Searles Valley, CA",earthquake,0.24,0.41,0.145,20,automatic,ci,ci
2019-09-27T05:36:13.970Z,35.6515,-117.54,4.2,1.28,ml,25,76,0.03777,0.19,ci,ci39096376,2019-09-27T05:39:57.972Z,"13km ENE of Ridgecrest, CA",earthquake,0.27,0.58,0.172,17,automatic,ci,ci
2019-09-27T05:35:29.741Z,58.4534,-138.7238,0,2.2,ml,,,,0.96,ak,ak019cemafpq,2019-09-27T05:39:00.775Z,"134km SSE of Yakutat, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-09-27T05:32:06.440Z,36.8238,-115.395,0.2,1.1,ml,16,121.64,0.362,0.24,nn,nn00705536,2019-09-27T05:38:04.632Z,"63km SSW of Alamo, Nevada",earthquake,,21,,,automatic,nn,nn
2019-09-27T05:25:49.394Z,36.40930176,-96.9330368,3.674937487,1.52,ml,17,75.31033325,0.008079743944,0.1303645398,ok,ok2019sxxb,2019-09-27T05:29:31.958Z,"14km NW of Pawnee, Oklahoma",earthquake,3.170665242,2.387440728,,13,automatic,ok,ok
2019-09-27T05:25:01.600Z,38.8201675,-122.8166656,3.33,0.56,md,7,134,0.01493,0.02,nc,nc73281670,2019-09-27T05:49:02.680Z,"7km NW of The Geysers, CA",earthquake,0.67,1.72,,1,automatic,nc,nc
2019-09-27T05:20:10.300Z,36.8349991,-121.3271637,9.54,1.52,md,12,170,0.07008,0.15,nc,nc73281660,2019-09-27T09:24:03.149Z,"4km NE of Ridgemark, CA",earthquake,1.18,1.6,0.23,9,automatic,nc,nc
2019-09-27T05:09:23.180Z,35.6346667,-117.43,4.09,1.07,ml,17,102,0.03082,0.24,ci,ci39096368,2019-09-27T05:13:10.288Z,"15km S of Searles Valley, CA",earthquake,0.51,0.89,0.146,14,automatic,ci,ci
2019-09-27T05:02:38.740Z,37.6418343,-118.9509964,4.55,1.14,md,17,60,0.02564,0.02,nc,nc73281650,2019-09-27T05:17:02.194Z,"2km ENE of Mammoth Lakes, CA",earthquake,0.37,0.74,0.2,16,automatic,nc,nc
2019-09-27T05:01:40.269Z,61.8187,-150.294,45.3,1.3,ml,,,,0.75,ak,ak019cem3663,2019-09-27T05:05:44.724Z,"15km WNW of Willow, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-09-27T05:00:39.070Z,38.3418,-118.9187,7.7,1.5,ml,10,65.66,0.337,0.13,nn,nn00705533,2019-09-27T05:33:43.212Z,"28km ENE of Bridgeport, California",earthquake,,12.7,,,automatic,nn,nn
2019-09-27T04:59:22.235Z,35.28669357,-97.93930054,3.109529257,2.2,ml,30,47.60836792,0.1308849007,0.6417064235,ok,ok2019sxwf,2019-09-27T05:03:01.318Z,"2km S of Minco, Oklahoma",earthquake,2.139133778,1.652179676,,24,automatic,ok,ok
